name,price,depreciation,registration_date,mileage,owners,listing_url,brand
Honda Civic 1.8A (COE till 09/2028),37800,9970,11-Sept-08,129000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1335924&DL=4465&utm_content=SLeligible,honda
BMW 2 Series 216d Gran Tourer Luxury,28800,16040,27-Nov-15,80700,1,https://www.sgcarmart.com/used_cars/info.php?ID=1335525&DL=3647,bmw
Honda Stream 1.8A X (COE till 09/2028),37300,9830,12-Sept-08,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1335081&DL=2356&utm_content=SLeligible,honda
BMW X1 sDrive18i,49800,15630,24-Feb-17,108000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1334672&DL=4561&utm_content=SLeligible,bmw
Mitsubishi Lancer EX 1.6A,26800,10280,27-Oct-16,109000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1333284&DL=1400&utm_content=SLeligible,mitsubishi
BMW 2 Series 216i Gran Tourer Luxury,107800,15010,18-Sept-20,58000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1332118&DL=1400&utm_content=SLeligible,bmw
Audi Q8 Sportback e-tron Electric 50 Quattro S-Line,358999,31180,28-Jun-24,1300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1331414&DL=2003&utm_content=SLeligible,audi
Mitsubishi Grandis 2.4A Sports Gear (COE till 11/2028),39500,9960,13-Nov-08,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1327819&DL=3647&utm_content=SLeligible,mitsubishi
Honda Odyssey 2.4A EX-S,39800,15060,18-Jul-16,114154,1,https://www.sgcarmart.com/used_cars/info.php?ID=1317597&DL=1032&utm_content=SLeligible,honda
Nissan Sylphy 1.6A,19800,10200,18-Jan-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1308726&DL=2469,nissan
Audi A3 Sedan 1.0A TFSI S-tronic,76800,14260,26-Jun-19,90033,1,https://www.sgcarmart.com/used_cars/info.php?ID=1299011&DL=3647&utm_content=SLeligible,audi
Subaru Impreza 4D 1.6i-S Sunroof,40800,12130,18-Sept-17,82240,1,https://www.sgcarmart.com/used_cars/info.php?ID=1298506&DL=1032&utm_content=SLeligible,subaru
Mitsubishi Lancer EX 2.0A GT (COE till 09/2028),43800,11570,9-Sept-08,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1293519&DL=2469&utm_content=SLeligible,mitsubishi
Volkswagen Jetta 1.4A TSI (New 5-yr COE),47800,9550,13-Aug-14,142305,4,https://www.sgcarmart.com/used_cars/info.php?ID=1292785&DL=2469&utm_content=SLeligible,volkswagen
Honda Airwave 1.5A M (COE till 05/2028),30800,8770,6-Jun-08,162424,4,https://www.sgcarmart.com/used_cars/info.php?ID=1291182&DL=2469&utm_content=SLeligible,honda
SEAT Ibiza 1.0A EcoTSI DSG Style,74880,11190,30-Oct-20,65204,1,https://www.sgcarmart.com/used_cars/info.php?ID=1287925&DL=3647&utm_content=SLeligible,seat
Mazda 3 1.5A Deluxe Sunroof,29500,13040,24-Aug-16,88620,2,https://www.sgcarmart.com/used_cars/info.php?ID=1269841&DL=3647&utm_content=SLeligible,mazda
Mercedes-Benz SL-Class SL43 Cabriolet Mild Hybrid AMG,558800,49700,1-Jun-23,200,1,https://www.sgcarmart.com/used_cars/info.php?ID=1247705&DL=1043&utm_content=SLeligible,mercedes-benz
Porsche Boxster S 3.2A Tip (COE till 04/2029),73800,16670,2-Mar-01,148500,6,https://www.sgcarmart.com/used_cars/info.php?ID=1234142&DL=3647,porsche
Mercedes-Benz C-Class C180 Avantgarde,63800,17800,17-May-17,120000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355869&DL=1240,mercedes-benz
Toyota Vellfire 3.5A Z G-Edition (New 10-yr COE),163800,16370,12-Jun-15,127000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355827&DL=1000&utm_content=SLeligible,toyota
Lexus ES250 Executive Sunroof,65888,16960,14-Jul-17,110000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1355826&DL=1000&utm_content=SLeligible,lexus
Honda Vezel Hybrid 1.5A X,28800,14500,20-Sept-16,175637,4,https://www.sgcarmart.com/used_cars/info.php?ID=1355824&DL=1000&utm_content=SLeligible,honda
MG BGT (COE till 01/2029),68000,16560,4-Jan-19,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355823&DL=1000,mg
Suzuki Grand Vitara 2.0A (COE till 03/2028),39888,12120,12-Mar-08,243000,5,https://www.sgcarmart.com/used_cars/info.php?ID=1355809&DL=1000&utm_content=SLeligible,suzuki
Toyota Wish 1.8A X,35800,12810,24-Nov-16,103000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1349961&DL=1264,toyota
Honda Odyssey 2.4A EX-S,99999,18750,23-May-19,77006,1,https://www.sgcarmart.com/used_cars/info.php?ID=1348967&DL=1463,honda
Hyundai Ioniq Electric Sunroof,67800,12970,8-Mar-19,101715,1,https://www.sgcarmart.com/used_cars/info.php?ID=1343579&DL=1032&utm_content=SLeligible,hyundai
Honda Civic 1.5A VTEC Turbo Sunroof,51388,15140,20-Jun-17,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1338585&DL=1149&utm_content=SLeligible,honda
Honda Mobilio 1.5A RS i-VTEC Luxe,41800,13130,4-May-17,94513,2,https://www.sgcarmart.com/used_cars/info.php?ID=1333183&DL=1032&utm_content=SLeligible,honda
Porsche Panamera Sport Turismo 4 3.0A PDK,262800,47050,8-Feb-18,68000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1332402&DL=4073&utm_content=SLeligible,porsche
MINI Cooper 1.6A (COE till 11/2031),65800,9380,29-Mar-12,122415,2,https://www.sgcarmart.com/used_cars/info.php?ID=1305958&DL=1344&utm_content=SLeligible,mini
Mercedes-Benz GLC-Class GLC250 4MATIC Sunroof,110800,23920,13-Jun-18,93000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1299731&DL=1013&utm_content=SLeligible,mercedes-benz
Toyota Sienta Hybrid 1.5A X,109800,15350,3-Sept-21,40218,1,https://www.sgcarmart.com/used_cars/info.php?ID=1247040&DL=2976&utm_content=SLeligible,toyota
BMW 3 Series 318i Highline Sportline,141800,18930,28-Jan-21,51000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353888&DL=2296,bmw
BMW X3 sDrive20i,65800,17890,28-Jun-17,94000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353866&DL=4073,bmw
BMW 2 Series 216i Gran Tourer Luxury,95800,13200,24-Sept-20,145000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1351785&DL=2969,bmw
Toyota Wish 1.8A,24800,12880,19-Feb-16,109300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1351171&DL=2246,toyota
Mini Cooper S 2.0A 5DR,96500,20750,8-Aug-18,81000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1350356&DL=8008&utm_content=SLeligible,mini
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,211000,22090,31-May-23,30000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1350280&DL=1000&utm_content=SLeligible,mercedes-benz
Audi RS e-tron GT Electric Quattro,432000,47150,21-Mar-22,18000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1350260&DL=8008&utm_content=SLeligible,audi
Toyota Sienta Hybrid 1.5A G,140800,15030,22-Dec-23,15500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1350201&DL=1000&utm_content=SLeligible,toyota
Mazda 5 2.0A SP Sunroof,21800,10740,22-Jan-16,111351,3,https://www.sgcarmart.com/used_cars/info.php?ID=1350194&DL=1000,mazda
BMW X1 sDrive18i,97000,16600,25-Jun-19,50000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1350163&DL=1000&utm_content=SLeligible,bmw
Chevrolet Impala (COE till 05/2033),95000,11250,5-May-23,88888,1,https://www.sgcarmart.com/used_cars/info.php?ID=1350157&DL=1000,chevrolet
Audi S3 Sportback 2.0A TFSI Quattro,62800,22910,30-Jun-16,125000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1350072&DL=1000&utm_content=SLeligible,audi
Honda City 1.5A V,34500,13320,25-Jan-17,36477,1,https://www.sgcarmart.com/used_cars/info.php?ID=1350031&DL=1000&utm_content=SLeligible,honda
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,166999,18460,25-Nov-22,40000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1349294&DL=2003,audi
Toyota Previa 2.4A Aeras Moonroof,91800,20230,12-Jun-18,64471,1,https://www.sgcarmart.com/used_cars/info.php?ID=1347247&DL=4103&utm_content=SLeligible,toyota
Mercedes-Benz GLB-Class GLB180 AMG Line 7-Seater,211800,21530,25-Aug-23,39000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1345523&DL=3210&utm_content=SLeligible,mercedes-benz
Porsche 911 Turbo Coupe 3.8A PDK (New 10-yr COE),498800,49850,27-Mar-15,48000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1344902&DL=4075&utm_content=SLeligible,porsche
Peugeot 308 SW 1.2A PureTech Allure,48900,9950,14-Sept-18,147387,1,https://www.sgcarmart.com/used_cars/info.php?ID=1319983&DL=4103&utm_content=SLeligible,peugeot
Toyota Rav4 2.4A (COE till 03/2029),45900,10560,12-May-09,157638,6,https://www.sgcarmart.com/used_cars/info.php?ID=1310302&DL=4103&utm_content=SLeligible,toyota
BMW iX Electric xDrive40 Sport,325800,29850,21-Apr-23,27500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354060&DL=3975,bmw
BMW 3 Series 318i,38800,12980,14-Oct-16,126000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1353869&DL=4073,bmw
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo S Sunroof,141800,18320,25-Oct-21,52000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353278&DL=3210,hyundai
Porsche Panamera 3.6A PDK (COE till 08/2030),90800,15750,5-Jan-11,116000,5,https://www.sgcarmart.com/used_cars/info.php?ID=1353096&DL=4703&utm_content=SLeligible,porsche
Kia Cerato K3 1.6A,27800,11050,30-Aug-16,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352319&DL=4239,kia
Audi A4 2.0A TFSI S-tronic,83800,16420,29-Oct-18,98000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1351214&DL=1163,audi
Lexus IS Hybrid IS300h Executive,148800,22280,15-Jul-20,58000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1350793&DL=4075,lexus
Mercedes-Benz GLA-Class GLA200 AMG Line Premium Plus,164300,20950,19-Jul-21,46000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1347746&DL=4458&utm_content=SLeligible,mercedes-benz
Audi A4 2.0A TFSI S-tronic,96500,16930,12-Jun-19,92000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338258&DL=4184&utm_content=SLeligible,audi
BMW 1 Series 118i 5DR (COE till 10/2031),73900,10660,23-Dec-11,155829,3,https://www.sgcarmart.com/used_cars/info.php?ID=1334999&DL=4103&utm_content=SLeligible,bmw
Mitsubishi Evolution 10 GSR SST (COE till 03/2029),98800,22740,26-Jun-09,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318339&DL=4073&utm_content=SLeligible,mitsubishi
Mercedes-Benz C-Class C180K (COE till 03/2031),75800,11950,23-Nov-11,105000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1302601&DL=4184&utm_content=SLeligible,mercedes-benz
Audi R8 4.2A FSI Quattro R-tronic (COE till 03/2028),135800,40600,17-Jun-08,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1355721&DL=4755&utm_content=SLeligible,audi
Toyota Prius Hybrid 1.8A S,65800,13290,27-Feb-19,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1354785&DL=2080,toyota
Mercedes-Benz Maybach GLS-Class GLS600 Mild Hybrid 4MATIC First Class,708800,74350,17-Aug-23,19500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1353275&DL=3975,mercedes-benz
Mercedes-Benz E-Class E200,29900,,9-Jan-15,128000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1350405&DL=1000,mercedes-benz
Renault Megane Sedan 1.2A Privilege TCe,47800,11900,31-Jan-18,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1350340&DL=1000&utm_content=SLeligible,renault
Porsche Boxster 2.7A Tip (COE till 10/2025),43800,48890,20-Oct-05,93800,6,https://www.sgcarmart.com/used_cars/info.php?ID=1350250&DL=1000,porsche
Mercedes-Benz E-Class E250 (COE till 09/2031),77800,11360,9-Nov-11,85000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1350158&DL=1000&utm_content=SLeligible,mercedes-benz
Porsche 718 Spyder 4.0M Cabriolet,399800,57960,3-Apr-20,9000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1349656&DL=4075,porsche
Honda CR-V 1.5A Turbo 7-Seater,112000,19800,29-Jul-19,66800,2,https://www.sgcarmart.com/used_cars/info.php?ID=1349526&DL=1000&utm_content=SLeligible,honda
Mercedes-Benz GLA-Class GLA200 AMG Line,189100,19950,11-May-23,19000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1342395&DL=4458&utm_content=SLeligible,mercedes-benz
BMW 5 Series 523i (COE till 12/2030),64900,10660,29-Dec-10,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1341821&DL=4103&utm_content=SLeligible,bmw
MINI Cooper S Electric Sunroof,119800,17680,15-Jul-21,30000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1326228&DL=4075&utm_content=SLeligible,mini
Audi Q2 1.4A TFSI CoD S-tronic,78900,15220,11-Jan-19,66658,2,https://www.sgcarmart.com/used_cars/info.php?ID=1311044&DL=4103&utm_content=SLeligible,audi
Toyota Corolla Altis 1.6A (COE till 03/2025),5800,,23-Mar-05,77300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355849&DL=2495,toyota
Kia Cerato 1.6A SX Sunroof,56800,11850,6-Dec-18,80000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355848&DL=3282,kia
Toyota Wish 1.8A (COE till 02/2029),47000,11030,3-Apr-09,160000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1355845&DL=4543&utm_content=SLeligible,toyota
Audi e-tron Electric 50 Quattro,218800,24920,31-Oct-22,3600,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355778&DL=1264,audi
BMW 1 Series 118i 5DR Sport,90800,16670,31-May-19,73700,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352862&DL=2351,bmw
BMW X6 Mild Hybrid xDrive40i M-Sport,448800,41250,29-Apr-24,4700,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352832&DL=3810,bmw
BMW M5 Sunroof (COE till 10/2032),145888,18390,31-Oct-12,99000,5,https://www.sgcarmart.com/used_cars/info.php?ID=1351085&DL=3837&utm_content=SLeligible,bmw
Mercedes-Benz CLA-Class CLA180 Shooting Brake,38500,14720,24-Jun-16,96300,3,https://www.sgcarmart.com/used_cars/info.php?ID=1346722&DL=4604&utm_content=SLeligible,mercedes-benz
BMW 2 Series 218i Active Tourer,138800,16430,9-Feb-22,40000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1343884&DL=3810&utm_content=SLeligible,bmw
BMW X1 sDrive20i M-Sport,132800,18940,27-Jul-20,76442,2,https://www.sgcarmart.com/used_cars/info.php?ID=1337586&DL=4217&utm_content=SLeligible,bmw
Mazda 5 2.0A Sunroof,41500,13580,31-Mar-17,76012,1,https://www.sgcarmart.com/used_cars/info.php?ID=1327134&DL=1164&utm_content=SLeligible,mazda
Kia Cerato K3 1.6A,41800,11870,20-Nov-17,75228,1,https://www.sgcarmart.com/used_cars/info.php?ID=1301589&DL=1107&utm_content=SLeligible,kia
Audi A3 Sportback 1.4A TFSI S-tronic Ambiente (COE till 05/2029),56600,12540,30-Jun-14,137000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1297880&DL=4671&utm_content=SLeligible,audi
Honda Shuttle 1.5A G LED Honda Sensing,101888,13950,10-Jan-22,66863,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355790&DL=3801,honda
Mercedes-Benz C-Class C180 Avantgarde,82800,19110,31-Jan-18,73000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355637&DL=2291,mercedes-benz
Audi A4 1.8A TFSI MU (COE till 04/2031),72800,11380,21-Apr-11,156000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1338708&DL=4718&utm_content=SLeligible,audi
BMW 5 Series 523i (COE till 03/2027),23800,10160,11-Apr-07,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1338702&DL=4454&utm_content=SLeligible,bmw
Honda Grace Hybrid 1.5A DX,27000,12300,24-Nov-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1338694&DL=3758&utm_content=SLeligible,honda
Mercedes-Benz A-Class A200 AMG Line,160800,18490,22-Sept-22,46500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1338654&DL=3359&utm_content=SLeligible,mercedes-benz
BMW 5 Series 535i Sunroof (COE till 11/2030),85800,14270,31-Aug-11,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1338648&DL=3271&utm_content=SLeligible,bmw
Volkswagen Golf 1.4A TSI,22800,19690,30-Oct-15,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1338644&DL=3175,volkswagen
Mercedes-Benz A-Class A180 (New 5-yr COE),66800,13350,1-Dec-14,120000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338636&DL=3271&utm_content=SLeligible,mercedes-benz
Honda Vezel Hybrid 1.5A X,78800,14770,26-Jul-19,73000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338606&DL=3791&utm_content=SLeligible,honda
Mercedes-Benz C-Class C200 Mild Hybrid AMG Line Premium,180800,21470,1-Oct-21,39000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1338594&DL=3359&utm_content=SLeligible,mercedes-benz
Mercedes-Benz GLE-Class GLE43 Coupe AMG 4MATIC,160800,42980,3-Mar-17,80000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1338524&DL=4313&utm_content=SLeligible,mercedes-benz
BMW 5 Series 530i SE,119800,22010,3-Oct-18,65000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338488&DL=4624&utm_content=SLeligible,bmw
Porsche Cayenne Coupe 3.0A,360888,43510,29-Jun-21,58000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1338485&DL=4719&utm_content=SLeligible,porsche
BMW 2 Series 218i Gran Coupe,123000,16060,30-Mar-21,56438,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338471&DL=3597&utm_content=SLeligible,bmw
Mercedes-Benz GLB-Class GLB200 Sport,186000,21700,27-Jul-22,33191,1,https://www.sgcarmart.com/used_cars/info.php?ID=1338468&DL=3597&utm_content=SLeligible,mercedes-benz
Mercedes-Benz C-Class C180 Avantgarde (COE till 08/2034),122800,12570,8-Sept-14,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1338465&DL=4743&utm_content=SLeligible,mercedes-benz
BMW X1 sDrive18i M-Sport,155000,18210,28-Jan-22,30771,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338463&DL=3597&utm_content=SLeligible,bmw
Honda Jazz 1.3A,78000,12610,27-Oct-20,62413,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338462&DL=3597&utm_content=SLeligible,honda
Audi Q7 2.0A TFSI Quattro Tip 7-Seater,269800,32520,6-Dec-21,67350,2,https://www.sgcarmart.com/used_cars/info.php?ID=1338400&DL=3350&utm_content=SLeligible,audi
Mercedes-Benz AMG GT 63 S 4MATIC+ Edition 1,429800,56490,25-Sept-19,38610,3,https://www.sgcarmart.com/used_cars/info.php?ID=1338341&DL=3350&utm_content=SLeligible,mercedes-benz
Honda Vezel 1.5A X,73800,14050,19-Aug-19,91000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1336096&DL=4442&utm_content=SLeligible,honda
Honda Jazz 1.5A,54800,12610,1-Aug-18,90125,2,https://www.sgcarmart.com/used_cars/info.php?ID=1335684&DL=1107&utm_content=SLeligible,honda
BMW 5 Series 540i M-Sport Sunroof,143800,33730,5-Oct-17,73000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1335202&DL=4442&utm_content=SLeligible,bmw
Audi A3 Sedan 1.0A TFSI S-tronic,75800,15470,23-Jan-19,59000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1334379&DL=4442&utm_content=SLeligible,audi
BMW 5 Series 520i,50800,22040,3-Mar-16,77000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1334029&DL=4442&utm_content=SLeligible,bmw
Mercedes-Benz B-Class B180 Style,25500,13600,2-Dec-15,107000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1332058&DL=4604,mercedes-benz
Mercedes-Benz E-Class E200 CGI (COE till 01/2030),67800,13080,25-Feb-10,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1331475&DL=4442&utm_content=SLeligible,mercedes-benz
Mercedes-Benz C-Class C180 Avantgarde,75800,18090,16-Nov-17,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1325607&DL=4591&utm_content=SLeligible,mercedes-benz
Kia Sportage 2.0A,42800,18450,28-Jul-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1320879&DL=4442&utm_content=SLeligible,kia
BMW 3 Series 335i Convertible (COE till 09/2031),102800,15030,29-Sept-11,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1318920&DL=4442&utm_content=SLeligible,bmw
Mercedes-Benz A-Class A200 Sunroof (COE till 08/2028),60888,16230,27-Aug-13,140000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318906&DL=4419&utm_content=SLeligible,mercedes-benz
BMW 5 Series 523i (COE till 01/2031),83888,13570,31-Mar-11,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318893&DL=3989&utm_content=SLeligible,bmw
Bentley Continental Flying Spur 6.0A (New 10-yr COE),138800,13870,2-Dec-05,81000,3,https://www.sgcarmart.com/used_cars/info.php?ID=1318817&DL=4154&utm_content=SLeligible,bentley
Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+ Premium Plus,280000,34300,20-Aug-21,58000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1318804&DL=3758&utm_content=SLeligible,mercedes-benz
Subaru Forester 2.0X (COE till 08/2028),41800,11190,22-Aug-08,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318802&DL=3142&utm_content=SLeligible,subaru
Mercedes-Benz C-Class C180 Avantgarde,90000,21490,25-Jan-18,121000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1318777&DL=4547&utm_content=SLeligible,mercedes-benz
Toyota Rav4 Hybrid 2.5A X,179800,21680,15-Aug-22,16200,1,https://www.sgcarmart.com/used_cars/info.php?ID=1318765&DL=3359&utm_content=SLeligible,toyota
Toyota Alphard Hybrid 2.5A Z,335988,31770,12-Jul-24,68,1,https://www.sgcarmart.com/used_cars/info.php?ID=1318739&DL=2010&utm_content=SLeligible,toyota
Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,420800,42840,13-Sept-22,63950,1,https://www.sgcarmart.com/used_cars/info.php?ID=1318685&DL=3350&utm_content=SLeligible,mercedes-benz
Toyota Yaris Cross 1.5A X,139988,13610,12-Jul-24,50,1,https://www.sgcarmart.com/used_cars/info.php?ID=1318643&DL=2010&utm_content=SLeligible,toyota
Mercedes-Benz SLK-Class SLK200K (COE till 08/2030),71800,12460,1-Oct-10,138000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318637&DL=4078&utm_content=SLeligible,mercedes-benz
Mitsubishi Lancer EX 2.0A GT (COE till 05/2028),50000,14540,5-May-08,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1318607&DL=3616&utm_content=SLeligible,mitsubishi
Kia Carens Diesel 1.7A,58800,12460,6-Sept-18,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1318282&DL=4442&utm_content=SLeligible,kia
Honda Crossroad 1.8A L (COE till 03/2029),57800,13430,17-Mar-09,203000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1315615&DL=4442&utm_content=SLeligible,honda
BMW i7 Electric xDrive60 Pure Excellence,468800,44230,24-Feb-23,16559,1,https://www.sgcarmart.com/used_cars/info.php?ID=1308346&DL=3810&utm_content=SLeligible,bmw
BYD Atto 3 Electric Extended Range,151800,16110,29-Apr-24,112,1,https://www.sgcarmart.com/used_cars/info.php?ID=1298115&DL=1094&utm_content=SLeligible,byd
Honda Civic VTI EG6 (COE till 05/2029),75888,16820,28-Jan-92,32000,6,https://www.sgcarmart.com/used_cars/info.php?ID=1298057&DL=3616,honda
Infiniti Q50 2.0A T Luxe Sunroof,77800,14860,21-Dec-18,94500,1,https://www.sgcarmart.com/used_cars/info.php?ID=1297705&DL=3093&utm_content=SLeligible,infiniti
Mercedes-Benz E-Class E200K Avantgarde (COE till 05/2028),34998,9990,29-May-08,279946,6,https://www.sgcarmart.com/used_cars/info.php?ID=1235855&DL=3382&utm_content=SLeligible,mercedes-benz
Toyota Corolla 1.6M (COE till 03/2029),65800,15140,14-Feb-92,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1225048&DL=4419,toyota
Toyota Corolla Altis 1.6A Elegance (COE till 02/2029),33998,8000,25-Feb-09,266430,6,https://www.sgcarmart.com/used_cars/info.php?ID=1223581&DL=3382&utm_content=SLeligible,toyota
Volkswagen Jetta GP 1.4A TSI Highline,45000,13720,31-May-17,95000,4,https://www.sgcarmart.com/used_cars/info.php?ID=1195030&DL=4120&utm_content=SLeligible,volkswagen
BMW X3 Plug-in Hybrid xDrive30e,194800,24310,24-May-21,42663,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352636&DL=2351,bmw
BMW 2 Series 216i Gran Tourer Luxury,114800,16240,15-Sept-20,66000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1343894&DL=3810&utm_content=SLeligible,bmw
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,117800,18230,16-Sept-20,95963,1,https://www.sgcarmart.com/used_cars/info.php?ID=1341742&DL=1164&utm_content=SLeligible,nissan
Mitsubishi Attrage 1.2A,39900,10950,27-Apr-18,106705,1,https://www.sgcarmart.com/used_cars/info.php?ID=1316518&DL=1164&utm_content=SLeligible,mitsubishi
Mercedes-Benz B-Class B170 (COE till 10/2028),43800,11160,29-Oct-08,149855,5,https://www.sgcarmart.com/used_cars/info.php?ID=1291006&DL=1107&utm_content=SLeligible,mercedes-benz
Toyota Camry 2.0A (COE till 05/2030),55800,10200,17-May-10,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1286617&DL=1099&utm_content=SLeligible,toyota
Mercedes-Benz SL-Class SL350 (COE till 09/2030),98300,16510,12-Nov-10,87000,5,https://www.sgcarmart.com/used_cars/info.php?ID=1147332&DL=3730&utm_content=SLeligible,mercedes-benz
Volvo XC60 Mild Hybrid B5 R-Design,188800,23560,30-Dec-21,29200,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355842&DL=2178,volvo
BMW 7 Series 740Li Sunroof (COE till 11/2030),77800,12940,30-Nov-10,122800,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355837&DL=2163&utm_content=SLeligible,bmw
Bentley Bentayga 4.0A V8,545000,69550,9-Jul-20,20000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355733&DL=2093,bentley
Toyota Alphard 2.5A S C-Package Moonroof,148800,26530,29-Apr-19,81000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1352943&DL=1043,toyota
